date,price
4/24/20,100.66
4/23/20,99.98
4/22/20,99.97
4/21/20,100.04
4/20/20,100.05
4/19/20,100.02
4/17/20,100.02
4/16/20,99.8
4/15/20,99.67
4/14/20,99.63
4/13/20,99.6
4/12/20,99.53
4/10/20,99.56
4/9/20,99.48
4/8/20,99.47
4/7/20,99.41
4/6/20,99.37
4/5/20,99.31
4/3/20,99.22
4/2/20,101.49
4/1/20,101.52
3/31/20,101.55
3/30/20,101.52
3/29/20,101.59
3/27/20,101.59
3/26/20,99.72
3/25/20,99.59
3/24/20,99.52
3/23/20,99.46
3/22/20,99.18
3/20/20,99.14
3/19/20,98.95
3/18/20,99.15
3/17/20,98.88
3/16/20,98.79
3/15/20,98.88
3/13/20,98.73
3/12/20,98.94
3/11/20,98.88
3/10/20,98.9
3/9/20,98.69
3/8/20,98.93
3/6/20,98.2
3/5/20,97.14
3/4/20,97.23
3/3/20,97.17
3/2/20,97.14
3/1/20,97.01
2/28/20,96.7
2/27/20,96.67
2/26/20,96.67
2/25/20,96.61
2/24/20,96.58
2/23/20,96.58
2/21/20,96.56
2/20/20,96.13
2/19/20,96.1
2/18/20,96.08
2/17/20,96.03
2/16/20,96.01
2/14/20,95.94
2/13/20,97.12
2/12/20,97.1
2/11/20,97.07
2/10/20,97.03
2/9/20,97.01
2/7/20,96.99
2/6/20,97.27
2/5/20,97.27
2/4/20,97.23
2/3/20,97.21
2/2/20,97.18
1/31/20,97.17
1/30/20,96.75
1/29/20,96.74
1/28/20,96.7
1/27/20,96.67
1/26/20,96.64
1/24/20,96.65
1/23/20,96.86
1/22/20,96.82
