date,price
"Apr 24, 2020",100.66
"Apr 23, 2020",99.98
"Apr 22, 2020",99.97
"Apr 21, 2020",100.04
"Apr 20, 2020",100.05
"Apr 19, 2020",100.02
"Apr 17, 2020",100.02
"Apr 16, 2020",99.8
"Apr 15, 2020",99.67
"Apr 14, 2020",99.63
"Apr 13, 2020",99.6
"Apr 12, 2020",99.53
"Apr 10, 2020",99.56
"Apr 09, 2020",99.48
"Apr 08, 2020",99.47
"Apr 07, 2020",99.41
"Apr 06, 2020",99.37
"Apr 05, 2020",99.31
"Apr 03, 2020",99.22
"Apr 02, 2020",101.49
"Apr 01, 2020",101.52
"Mar 31, 2020",101.55
"Mar 30, 2020",101.52
"Mar 29, 2020",101.59
"Mar 27, 2020",101.59
"Mar 26, 2020",99.72
"Mar 25, 2020",99.59
"Mar 24, 2020",99.52
"Mar 23, 2020",99.46
"Mar 22, 2020",99.18
"Mar 20, 2020",99.14
"Mar 19, 2020",98.95
"Mar 18, 2020",99.15
"Mar 17, 2020",98.88
"Mar 16, 2020",98.79
"Mar 15, 2020",98.88
"Mar 13, 2020",98.73
"Mar 12, 2020",98.94
"Mar 11, 2020",98.88
"Mar 10, 2020",98.9
"Mar 09, 2020",98.69
"Mar 08, 2020",98.93
"Mar 06, 2020",98.2
"Mar 05, 2020",97.14
"Mar 04, 2020",97.23
"Mar 03, 2020",97.17
"Mar 02, 2020",97.14
"Mar 01, 2020",97.01
"Feb 28, 2020",96.7
"Feb 27, 2020",96.67
"Feb 26, 2020",96.67
"Feb 25, 2020",96.61
"Feb 24, 2020",96.58
"Feb 23, 2020",96.58
"Feb 21, 2020",96.56
"Feb 20, 2020",96.13
"Feb 19, 2020",96.1
"Feb 18, 2020",96.08
"Feb 17, 2020",96.03
"Feb 16, 2020",96.01
"Feb 14, 2020",95.94
"Feb 13, 2020",97.12
"Feb 12, 2020",97.1
"Feb 11, 2020",97.07
"Feb 10, 2020",97.03
"Feb 09, 2020",97.01
"Feb 07, 2020",96.99
"Feb 06, 2020",97.27
