date,price
4/24/20,93.01
4/23/20,92.92
4/22/20,92.79
4/21/20,92.82
4/20/20,92.93
4/17/20,93.0
4/16/20,92.68
4/15/20,93.07
4/14/20,93.3
4/13/20,92.8
4/9/20,92.19
4/8/20,91.87
4/7/20,91.94
4/6/20,91.55
4/3/20,92.22
4/2/20,92.73
4/1/20,93.35
3/31/20,92.96
3/30/20,92.77
3/27/20,92.65
3/26/20,91.23
3/25/20,89.92
3/24/20,89.79
3/23/20,89.96
3/20/20,90.07
3/19/20,90.28
3/18/20,92.65
3/17/20,92.86
3/16/20,94.4
3/13/20,92.43
3/12/20,95.49
3/11/20,95.8
3/10/20,94.76
3/9/20,97.75
3/6/20,94.89
3/5/20,94.21
3/4/20,93.0
3/3/20,93.35
3/2/20,92.3
2/28/20,92.5
2/27/20,91.33
2/26/20,90.58
2/25/20,90.77
2/24/20,90.35
2/21/20,89.64
2/20/20,89.23
2/19/20,89.81
2/18/20,91.01
2/14/20,91.11
2/13/20,91.07
2/12/20,90.84
2/11/20,91.08
2/10/20,91.11
2/7/20,91.1
2/6/20,90.89
2/5/20,91.07
2/4/20,91.31
2/3/20,92.02
1/31/20,92.3
1/30/20,91.79
1/29/20,91.69
1/28/20,91.62
1/27/20,91.84
1/24/20,91.48
1/23/20,91.34
1/22/20,91.02
