date,price
"Apr 24, 2020",93.01
"Apr 23, 2020",92.92
"Apr 22, 2020",92.79
"Apr 21, 2020",92.82
"Apr 20, 2020",92.93
"Apr 17, 2020",93.0
"Apr 16, 2020",92.68
"Apr 15, 2020",93.07
"Apr 14, 2020",93.3
"Apr 13, 2020",92.8
"Apr 09, 2020",92.19
"Apr 08, 2020",91.87
"Apr 07, 2020",91.94
"Apr 06, 2020",91.55
"Apr 03, 2020",92.22
"Apr 02, 2020",92.73
"Apr 01, 2020",93.35
"Mar 31, 2020",92.96
"Mar 30, 2020",92.77
"Mar 27, 2020",92.65
"Mar 26, 2020",91.23
"Mar 25, 2020",89.92
"Mar 24, 2020",89.79
"Mar 23, 2020",89.96
"Mar 20, 2020",90.07
"Mar 19, 2020",90.28
"Mar 18, 2020",92.65
"Mar 17, 2020",92.86
"Mar 16, 2020",94.4
"Mar 13, 2020",92.43
"Mar 12, 2020",95.49
"Mar 11, 2020",95.8
"Mar 10, 2020",94.76
"Mar 09, 2020",97.75
"Mar 06, 2020",94.89
"Mar 05, 2020",94.21
"Mar 04, 2020",93.0
"Mar 03, 2020",93.35
"Mar 02, 2020",92.3
"Feb 28, 2020",92.5
"Feb 27, 2020",91.33
"Feb 26, 2020",90.58
"Feb 25, 2020",90.77
"Feb 24, 2020",90.35
"Feb 21, 2020",89.64
"Feb 20, 2020",89.23
"Feb 19, 2020",89.81
"Feb 18, 2020",91.01
"Feb 14, 2020",91.11
"Feb 13, 2020",91.07
"Feb 12, 2020",90.84
"Feb 11, 2020",91.08
"Feb 10, 2020",91.11
"Feb 07, 2020",91.1
"Feb 06, 2020",90.89
"Feb 05, 2020",91.07
"Feb 04, 2020",91.31
"Feb 03, 2020",92.02
"Jan 31, 2020",92.3
"Jan 30, 2020",91.79
"Jan 29, 2020",91.69
"Jan 28, 2020",91.62
"Jan 27, 2020",91.84
"Jan 24, 2020",91.48
"Jan 23, 2020",91.34
"Jan 22, 2020",91.02
