date,price
4/24/20,100.29
4/23/20,100.52
4/22/20,100.48
4/21/20,100.2
4/20/20,99.95
4/17/20,99.72
4/16/20,99.9
4/15/20,99.65
4/14/20,98.84
4/13/20,99.38
4/10/20,99.52
4/9/20,99.61
4/8/20,100.12
4/7/20,99.95
4/6/20,100.74
4/3/20,100.58
4/2/20,100.19
4/1/20,99.5
3/31/20,99.0
3/30/20,99.18
3/27/20,98.36
3/26/20,99.29
3/25/20,100.91
3/24/20,101.66
3/23/20,102.49
3/20/20,102.82
3/19/20,102.99
3/18/20,101.16
3/17/20,99.58
3/16/20,98.07
3/13/20,98.75
3/12/20,97.47
3/11/20,96.51
3/10/20,96.41
3/9/20,94.89
3/6/20,95.95
3/5/20,96.82
3/4/20,97.34
3/3/20,97.15
3/2/20,97.36
2/28/20,98.13
2/27/20,98.51
2/26/20,99.0
2/25/20,98.97
2/24/20,99.36
2/21/20,99.26
2/20/20,99.86
2/19/20,99.7
2/18/20,99.44
2/17/20,99.0
2/14/20,99.12
2/13/20,99.07
2/12/20,99.05
2/11/20,98.72
2/10/20,98.83
2/7/20,98.68
2/6/20,98.5
2/5/20,98.3
2/4/20,97.96
2/3/20,97.8
1/31/20,97.39
1/30/20,97.87
1/29/20,97.99
1/28/20,98.02
1/27/20,97.96
1/24/20,97.85
1/23/20,97.69
1/22/20,97.53
