date,price
"Apr 24, 2020",100.29
"Apr 23, 2020",100.52
"Apr 22, 2020",100.48
"Apr 21, 2020",100.2
"Apr 20, 2020",99.95
"Apr 17, 2020",99.72
"Apr 16, 2020",99.9
"Apr 15, 2020",99.65
"Apr 14, 2020",98.84
"Apr 13, 2020",99.38
"Apr 10, 2020",99.52
"Apr 09, 2020",99.61
"Apr 08, 2020",100.12
"Apr 07, 2020",99.95
"Apr 06, 2020",100.74
"Apr 03, 2020",100.58
"Apr 02, 2020",100.19
"Apr 01, 2020",99.5
"Mar 31, 2020",99.0
"Mar 30, 2020",99.18
"Mar 27, 2020",98.36
"Mar 26, 2020",99.29
"Mar 25, 2020",100.91
"Mar 24, 2020",101.66
"Mar 23, 2020",102.49
"Mar 20, 2020",102.82
"Mar 19, 2020",102.99
"Mar 18, 2020",101.16
"Mar 17, 2020",99.58
"Mar 16, 2020",98.07
"Mar 13, 2020",98.75
"Mar 12, 2020",97.47
"Mar 11, 2020",96.51
"Mar 10, 2020",96.41
"Mar 09, 2020",94.89
"Mar 06, 2020",95.95
"Mar 05, 2020",96.82
"Mar 04, 2020",97.34
"Mar 03, 2020",97.15
"Mar 02, 2020",97.36
"Feb 28, 2020",98.13
"Feb 27, 2020",98.51
"Feb 26, 2020",99.0
"Feb 25, 2020",98.97
"Feb 24, 2020",99.36
"Feb 21, 2020",99.26
"Feb 20, 2020",99.86
"Feb 19, 2020",99.7
"Feb 18, 2020",99.44
"Feb 17, 2020",99.0
"Feb 14, 2020",99.12
"Feb 13, 2020",99.07
"Feb 12, 2020",99.05
"Feb 11, 2020",98.72
"Feb 10, 2020",98.83
"Feb 07, 2020",98.68
"Feb 06, 2020",98.5
"Feb 05, 2020",98.3
"Feb 04, 2020",97.96
"Feb 03, 2020",97.8
"Jan 31, 2020",97.39
"Jan 30, 2020",97.87
"Jan 29, 2020",97.99
"Jan 28, 2020",98.02
"Jan 27, 2020",97.96
"Jan 24, 2020",97.85
"Jan 23, 2020",97.69
"Jan 22, 2020",97.53
